subnum,group,expression,GroupCount,entropy
2012,2,1,16,11.7590802123905
2012,2,2,16,12.1967653718464
2052,2,1,16,11.8827721885199
2052,2,2,16,11.8649518180052
2171,1,1,16,12.1283225410908
2171,1,2,16,12.2334353397252
2181,1,1,16,12.2484710290547
2181,1,2,16,12.330923642778
2202,2,1,16,12.2230151963342
2202,2,2,16,12.2335359139795
2212,2,1,16,12.0401723302016
2212,2,2,16,11.9982834401724
2241,1,1,16,11.9906203640686
2241,1,2,16,12.3061440710095
2252,2,1,16,11.945231111816
2252,2,2,16,11.8415540931589
2291,1,1,16,12.2725305972211
2291,1,2,16,12.2921888721399
2341,1,1,16,12.1325076731929
2341,1,2,16,12.2384829925248
